"Subject","Trial","Selection","Response_Time","Alt","Brand","Price","Type"
2401,1,TRUE,5210,1,"Dove",0.6,"Milk"
2401,1,FALSE,5210,2,"Godiva",0.7,"Dark"
2401,1,FALSE,5210,3,"Dove",3.6,"White"
2401,2,FALSE,7480,1,"Godiva",2.7,"Milk w/ Nuts"
2401,2,TRUE,7480,2,"Godiva",3.9,"Dark"
2401,2,FALSE,7480,3,"Hershey's",0.7,"Milk w/ Nuts"
2401,3,FALSE,7704,1,"Hershey's",1.7,"Dark w/ Nuts"
2401,3,TRUE,7704,2,"Godiva",3.7,"Dark"
2401,3,FALSE,7704,3,"Hershey's",3,"Dark"
2401,4,TRUE,5774,1,"Lindt",1,"Milk"
2401,4,FALSE,5774,2,"Lindt",3.6,"Milk w/ Nuts"
2401,4,FALSE,5774,3,"Ghirardelli",0.5,"Dark w/ Nuts"
2401,5,FALSE,5238,1,"Hershey's",0.8,"Milk w/ Nuts"
2401,5,TRUE,5238,2,"Godiva",1.5,"Dark"
2401,5,FALSE,5238,3,"Hershey's",3.3,"White"
2401,6,FALSE,3423,1,"Lindt",3.1,"Milk"
2401,6,FALSE,3423,2,"Dove",2.5,"White"
2401,6,TRUE,3423,3,"Godiva",2.6,"Dark"
2401,7,FALSE,4691,1,"Godiva",3.1,"White"
2401,7,FALSE,4691,2,"Dove",4,"Dark w/ Nuts"
2401,7,TRUE,4691,3,"Godiva",2.1,"Milk"
2401,8,FALSE,3268,1,"Hershey's",0.8,"Dark w/ Nuts"
2401,8,FALSE,3268,2,"Godiva",3.2,"White"
2401,8,TRUE,3268,3,"Godiva",1.1,"Dark"
2401,9,FALSE,6719,1,"Lindt",2.3,"Dark"
2401,9,TRUE,6719,2,"Godiva",1.7,"Dark"
2401,9,FALSE,6719,3,"Godiva",3.8,"White"
2401,10,FALSE,3542,1,"Lindt",0.6,"Milk w/ Nuts"
2401,10,TRUE,3542,2,"Godiva",0.8,"Milk w/ Nuts"
2401,10,FALSE,3542,3,"Hershey's",3.7,"Dark"
2401,11,TRUE,3607,1,"Godiva",1.6,"Milk"
2401,11,FALSE,3607,2,"Dove",0.7,"White"
2401,11,FALSE,3607,3,"Hershey's",1.2,"Dark w/ Nuts"
2401,12,FALSE,6688,1,"Godiva",1.1,"Dark w/ Nuts"
2401,12,FALSE,6688,2,"Dove",0.8,"Dark w/ Nuts"
2401,12,TRUE,6688,3,"Lindt",3.7,"Dark"
2401,13,TRUE,4547,1,"Dove",3,"Milk"
2401,13,FALSE,4547,2,"Lindt",0.8,"White"
2401,13,FALSE,4547,3,"Godiva",1.9,"White"
2401,14,FALSE,5615,1,"Lindt",0.6,"Dark w/ Nuts"
2401,14,TRUE,5615,2,"Dove",3.5,"Milk"
2401,14,FALSE,5615,3,"Dove",1.9,"Milk w/ Nuts"
2401,15,TRUE,3723,1,"Godiva",3.7,"Dark"
2401,15,FALSE,3723,2,"Ghirardelli",1.5,"Dark"
2401,15,FALSE,3723,3,"Dove",1.6,"Dark"
2401,16,FALSE,4616,1,"Hershey's",0.5,"Milk w/ Nuts"
2401,16,TRUE,4616,2,"Dove",3.8,"Milk"
2401,16,FALSE,4616,3,"Dove",3.7,"Dark w/ Nuts"
