n,X1,X2,X3,X4,X5,X6,X7,size,use,X10,X11,X12,type,X14
1,4.1,0.6,6.9,4.7,2.4,2.3,5.2,small,32,4.2,total,decentralized,industry,new
2,1.8,3,6.3,6.6,2.5,4,8.4,large,43,4.3,specification,centralized,other,new
3,3.4,5.2,5.7,6,4.3,2.7,8.2,large,48,5.2,specification,centralized,industry,modified
4,2.7,1,7.1,5.9,1.8,2.3,7.8,large,32,3.9,specification,centralized,industry,new
5,6,0.9,9.6,7.8,3.4,4.6,4.5,small,58,6.8,total,decentralized,industry,rebuy
6,1.9,3.3,7.9,4.8,2.6,1.9,9.7,large,45,4.4,specification,centralized,industry,modified
7,4.6,2.4,9.5,6.6,3.5,4.5,7.6,small,46,5.8,total,decentralized,industry,new
8,1.3,4.2,6.2,5.1,2.8,2.2,6.9,large,44,4.3,specification,centralized,other,modified
9,5.5,1.6,9.4,4.7,3.5,3,7.6,small,63,5.4,total,decentralized,industry,rebuy
10,4,3.5,6.5,6,3.7,3.2,8.7,large,54,5.4,specification,centralized,other,modified
11,2.4,1.6,8.8,4.8,2,2.8,5.8,small,32,4.3,total,decentralized,other,new
12,3.9,2.2,9.1,4.6,3,2.5,8.3,small,47,5,total,decentralized,industry,modified
13,2.8,1.4,8.1,3.8,2.1,1.4,6.6,large,39,4.4,specification,centralized,other,new
14,3.7,1.5,8.6,5.7,2.7,3.7,6.7,small,38,5,total,decentralized,industry,new
15,4.7,1.3,9.9,6.7,3,2.6,6.8,small,54,5.9,total,decentralized,other,rebuy
16,3.4,2,9.7,4.7,2.7,1.7,4.8,small,49,4.7,total,decentralized,other,rebuy
17,3.2,4.1,5.7,5.1,3.6,2.9,6.2,small,38,4.4,total,centralized,industry,modified
18,4.9,1.8,7.7,4.3,3.4,1.5,5.9,small,40,5.6,total,decentralized,other,modified
19,5.3,1.4,9.7,6.1,3.3,3.9,6.8,small,54,5.9,total,decentralized,industry,rebuy
20,4.7,1.3,9.9,6.7,3,2.6,6.8,small,55,6,total,decentralized,other,rebuy
21,3.3,0.9,8.6,4,2.1,1.8,6.3,small,41,4.5,total,decentralized,other,modified
22,3.4,0.4,8.3,2.5,1.2,1.7,5.2,small,35,3.3,total,decentralized,other,new
23,3,4,9.1,7.1,3.5,3.4,8.4,small,55,5.2,total,centralized,other,rebuy
24,2.4,1.5,6.7,4.8,1.9,2.5,7.2,large,36,3.7,specification,centralized,other,new
25,5.1,1.4,8.7,4.8,3.3,2.6,3.8,small,49,4.9,total,decentralized,other,modified
26,4.6,2.1,7.9,5.8,3.4,2.8,4.7,small,49,5.9,total,decentralized,industry,rebuy
27,2.4,1.5,6.6,4.8,1.9,2.5,7.2,large,36,3.7,specification,centralized,other,new
28,5.2,1.3,9.7,6.1,3.2,3.9,6.7,small,54,5.8,total,decentralized,industry,rebuy
29,3.5,2.8,9.9,3.5,3.1,1.7,5.4,small,49,5.4,total,decentralized,industry,rebuy
30,4.1,3.7,5.9,5.5,3.9,3,8.4,large,46,5.1,specification,centralized,other,modified
31,3,3.2,6,5.3,3.1,3,8,large,43,3.3,specification,centralized,other,new
32,2.8,3.8,8.9,6.9,3.3,3.2,8.2,small,53,5,total,centralized,other,rebuy
33,5.2,2,9.3,5.9,3.7,2.4,4.6,small,60,6.1,total,decentralized,other,rebuy
34,3.4,3.7,6.4,5.7,3.5,3.4,8.4,large,47,3.8,specification,centralized,other,new
35,2.4,1,7.7,3.4,1.7,1.1,6.2,large,35,4.1,specification,centralized,other,new
36,1.8,3.3,7.5,4.5,2.5,2.4,7.6,large,39,3.6,specification,centralized,industry,new
37,3.6,4,5.8,5.8,3.7,2.5,9.3,large,44,4.8,specification,centralized,industry,modified
38,4,0.9,9.1,5.4,2.4,2.6,7.3,small,46,5.1,total,decentralized,industry,rebuy
39,0,2.1,6.9,5.4,1.1,2.6,8.9,large,29,3.9,specification,centralized,industry,new
40,2.4,2,6.4,4.5,2.1,2.2,8.8,large,28,3.3,specification,centralized,industry,new
41,1.9,3.4,7.6,4.6,2.6,2.5,7.7,large,40,3.7,specification,centralized,industry,new
42,5.9,0.9,9.6,7.8,3.4,4.6,4.5,small,58,6.7,total,decentralized,industry,rebuy
43,4.9,2.3,9.3,4.5,3.6,1.3,6.2,small,53,5.9,total,decentralized,other,rebuy
44,5,1.3,8.6,4.7,3.1,2.5,3.7,small,48,4.8,total,decentralized,other,modified
45,2,2.6,6.5,3.7,2.4,1.7,8.5,large,38,3.2,specification,centralized,industry,new
46,5,2.5,9.4,4.6,3.7,1.4,6.3,small,54,6,total,decentralized,other,rebuy
47,3.1,1.9,10,4.5,2.6,3.2,3.8,small,55,4.9,total,decentralized,industry,rebuy
48,3.4,3.9,5.6,5.6,3.6,2.3,9.1,large,43,4.7,specification,centralized,industry,modified
49,5.8,0.2,8.8,4.5,3,2.4,6.7,small,57,4.9,total,decentralized,industry,rebuy
50,5.4,2.1,8,3,3.8,1.4,5.2,small,53,3.8,total,decentralized,industry,rebuy
51,3.7,0.7,8.2,6,2.1,2.5,5.2,small,41,5,total,decentralized,other,modified
52,2.6,4.8,8.2,5,3.6,2.5,9,large,53,5.2,specification,centralized,industry,modified
53,4.5,4.1,6.3,5.9,4.3,3.4,8.8,large,50,5.5,specification,centralized,other,modified
54,2.8,2.4,6.7,4.9,2.5,2.6,9.2,large,32,3.7,specification,centralized,industry,new
55,3.8,0.8,8.7,2.9,1.6,2.1,5.6,small,39,3.7,total,decentralized,other,new
56,2.9,2.6,7.7,7,2.8,3.6,7.7,small,47,4.2,total,centralized,industry,modified
