"MBSA2";"MBSA7";"MBSA8";"MBSA9";"MBSA2.2";"MBSA7.2";"MBSA8.2";"MBSA9.2"
"StronglyAgree";"Agree";"Disagree";"Disagree";4;3;2;2
"Agree";"StronglyAgree";"StronglyDisagree";"StronglyAgree";3;4;1;4
"Agree";"Disagree";"Disagree";"Agree";3;2;2;3
"StronglyAgree";"Agree";"StronglyDisagree";"StronglyAgree";4;3;1;4
"Agree";"StronglyDisagree";"Agree";"Disagree";3;1;3;2
"Agree";"Disagree";"Agree";"Agree";3;2;3;3
"Disagree";"StronglyDisagree";"Disagree";"Agree";2;1;2;3
"Agree";"StronglyDisagree";"Disagree";"Disagree";3;1;2;2
"Disagree";"Agree";"StronglyDisagree";"StronglyAgree";2;3;1;4
"Agree";"Agree";"Agree";"StronglyAgree";3;3;3;4
"Agree";"Agree";"Agree";"Agree";3;3;3;3
"StronglyAgree";"Agree";"StronglyAgree";"StronglyAgree";4;3;4;4
"Agree";"Agree";"Disagree";"StronglyAgree";3;3;2;4
"Disagree";"Agree";"StronglyDisagree";"Agree";2;3;1;3
"Agree";"Agree";"Disagree";"Agree";3;3;2;3
"Agree";"Agree";"Disagree";"StronglyAgree";3;3;2;4
"Agree";"Agree";"Agree";"Agree";3;3;3;3
"Agree";"Agree";"Agree";"StronglyAgree";3;3;3;4
"Agree";"Agree";"Disagree";"StronglyAgree";3;3;2;4
"StronglyAgree";"StronglyDisagree";"StronglyDisagree";"Agree";4;1;1;3
"Disagree";"StronglyAgree";"StronglyDisagree";"StronglyAgree";2;4;1;4
"Disagree";"StronglyAgree";"Disagree";"StronglyAgree";2;4;2;4
"Agree";"Disagree";"Agree";"Disagree";3;2;3;2
"Disagree";"Agree";"Disagree";"Agree";2;3;2;3
"Agree";"StronglyDisagree";"Disagree";"Disagree";3;1;2;2
"Agree";"Disagree";"Disagree";"Agree";3;2;2;3
"Agree";"Disagree";"Agree";"Agree";3;2;3;3
"Agree";"Agree";"Disagree";"StronglyAgree";3;3;2;4
"StronglyAgree";"Disagree";"Disagree";"Agree";4;2;2;3
"Agree";"StronglyAgree";"StronglyDisagree";"StronglyAgree";3;4;1;4
"Agree";"Disagree";"StronglyDisagree";"Disagree";3;2;1;2
"StronglyAgree";"Agree";"Agree";"Agree";4;3;3;3
"StronglyAgree";"Disagree";"Agree";"Agree";4;2;3;3
"Disagree";"Agree";"Disagree";"Agree";2;3;2;3
"Disagree";"Agree";"Agree";"Agree";2;3;3;3
"Agree";"Agree";"Disagree";"Agree";3;3;2;3
"Disagree";"Agree";"Agree";"StronglyAgree";2;3;3;4
"Disagree";"Agree";"Disagree";"Agree";2;3;2;3
"Agree";"StronglyAgree";"StronglyAgree";"Agree";3;4;4;3
"Agree";"Disagree";"Agree";"Agree";3;2;3;3
"Agree";"StronglyAgree";"StronglyDisagree";"StronglyAgree";3;4;1;4
"Agree";"Agree";"StronglyDisagree";"Agree";3;3;1;3
"Agree";"StronglyDisagree";"Agree";"StronglyDisagree";3;1;3;1
"StronglyDisagree";"Agree";"Agree";"StronglyAgree";1;3;3;4
"Agree";"Agree";"Agree";"StronglyAgree";3;3;3;4
"StronglyAgree";"Disagree";"Disagree";"Disagree";4;2;2;2
"Disagree";"Agree";"Agree";"StronglyAgree";2;3;3;4
"Disagree";"Agree";"Agree";"StronglyAgree";2;3;3;4
"Agree";"Agree";"StronglyDisagree";"StronglyAgree";3;3;1;4
"Agree";"Agree";"Agree";"Agree";3;3;3;3
"Agree";"StronglyAgree";"Agree";"StronglyAgree";3;4;3;4
"Agree";"StronglyAgree";"Disagree";"Agree";3;4;2;3
"StronglyAgree";"StronglyDisagree";"StronglyAgree";"Agree";4;1;4;3
"Agree";"Disagree";"StronglyDisagree";"Disagree";3;2;1;2
"Agree";"Agree";"Disagree";"Agree";3;3;2;3
"Disagree";"StronglyAgree";"Agree";"StronglyAgree";2;4;3;4
"StronglyDisagree";"StronglyAgree";"Disagree";"StronglyAgree";1;4;2;4
