"resp_id","ques","segment","choice","seat.1","seat.2","seat.3","trans.1","trans.2","trans.3","convert.1","convert.2","convert.3","price.1","price.2","price.3"
1,1,"basic",3,"2","5","5","manual","auto","auto","yes","no","no","35","40","30"
1,2,"basic",2,"5","2","4","manual","manual","auto","no","no","no","35","30","35"
1,3,"basic",1,"5","4","4","auto","auto","manual","yes","yes","no","35","30","40"
1,4,"basic",3,"2","4","4","manual","manual","auto","yes","yes","yes","30","40","35"
1,5,"basic",2,"5","5","2","manual","manual","auto","yes","no","yes","40","30","40"
1,6,"basic",3,"2","4","2","auto","manual","auto","yes","yes","no","35","35","30"
1,7,"basic",1,"4","2","5","manual","manual","manual","no","no","yes","30","35","35"
1,8,"basic",1,"5","2","2","auto","auto","auto","no","yes","no","35","30","35"
1,9,"basic",1,"4","4","2","manual","auto","manual","yes","yes","no","30","40","40"
1,10,"basic",1,"5","4","2","auto","auto","manual","yes","no","yes","40","30","40"
2,1,"basic",3,"5","5","4","manual","manual","auto","no","yes","yes","35","35","40"
2,2,"basic",3,"4","2","4","manual","auto","auto","no","yes","no","30","35","35"
2,3,"basic",3,"2","4","5","auto","manual","auto","no","yes","yes","40","35","35"
2,4,"basic",1,"2","4","5","auto","manual","auto","no","no","no","35","40","35"
2,5,"basic",1,"5","4","4","manual","manual","auto","no","yes","no","30","40","40"
2,6,"basic",3,"2","4","4","manual","auto","manual","yes","no","yes","40","30","30"
2,7,"basic",2,"5","2","5","auto","auto","manual","no","no","yes","30","30","30"
2,8,"basic",3,"2","2","2","manual","manual","auto","yes","yes","yes","35","30","30"
2,9,"basic",3,"4","2","4","auto","manual","manual","yes","no","no","30","30","35"
2,10,"basic",1,"5","5","2","auto","auto","manual","yes","no","no","40","40","35"
3,1,"basic",1,"4","4","5","auto","auto","auto","yes","no","yes","35","35","40"
3,2,"basic",2,"4","4","2","manual","auto","manual","no","yes","yes","35","40","40"
3,3,"basic",3,"4","5","2","manual","manual","auto","yes","no","no","30","30","35"
3,4,"basic",1,"2","2","2","auto","manual","manual","yes","yes","yes","30","35","30"
3,5,"basic",2,"4","5","5","manual","auto","auto","no","no","no","40","35","40"
3,6,"basic",3,"2","5","2","manual","auto","auto","no","no","no","40","30","30"
3,7,"basic",3,"4","4","4","manual","auto","auto","no","no","no","30","40","30"
3,8,"basic",3,"4","4","5","manual","manual","auto","yes","yes","yes","35","40","30"
3,9,"basic",3,"5","2","5","manual","auto","auto","yes","yes","yes","30","35","35"
3,10,"basic",2,"5","5","2","manual","manual","auto","no","yes","no","40","35","40"
4,1,"basic",2,"2","5","4","auto","manual","manual","no","no","yes","30","30","40"
4,2,"basic",2,"5","4","2","manual","auto","auto","yes","yes","yes","40","40","35"
4,3,"basic",2,"4","5","5","manual","auto","auto","yes","yes","no","35","35","40"
4,4,"basic",3,"5","2","4","manual","manual","auto","yes","no","yes","30","35","30"
4,5,"basic",2,"4","4","2","manual","auto","manual","yes","no","no","30","30","30"
4,6,"basic",3,"2","5","4","auto","auto","auto","yes","yes","no","40","40","35"
4,7,"basic",3,"5","2","2","manual","manual","auto","yes","yes","yes","35","30","30"
4,8,"basic",2,"4","5","4","manual","auto","auto","no","no","yes","40","30","35"
4,9,"basic",3,"4","2","4","manual","auto","manual","no","no","no","35","35","30"
4,10,"basic",2,"5","5","5","manual","auto","auto","no","no","yes","35","35","30"
5,1,"basic",2,"5","2","4","auto","auto","manual","yes","yes","no","35","30","35"
5,2,"basic",2,"5","2","2","auto","manual","auto","no","no","no","40","30","35"
5,3,"basic",2,"2","5","5","manual","auto","manual","no","no","yes","35","35","40"
5,4,"basic",2,"5","4","5","manual","auto","auto","no","yes","yes","35","35","30"
5,5,"basic",2,"4","2","2","auto","auto","manual","no","no","no","35","30","40"
5,6,"basic",1,"5","4","2","manual","manual","manual","yes","yes","yes","30","40","40"
5,7,"basic",1,"2","5","4","manual","manual","auto","yes","no","no","30","40","40"
5,8,"basic",2,"2","5","4","manual","auto","auto","yes","yes","yes","35","40","40"
5,9,"basic",2,"5","4","2","manual","auto","auto","yes","yes","no","35","30","40"
5,10,"basic",1,"5","5","2","auto","manual","auto","no","no","yes","30","30","35"
6,1,"basic",2,"5","2","2","manual","auto","manual","yes","yes","no","35","30","30"
6,2,"basic",1,"5","4","2","manual","manual","manual","no","no","yes","35","35","30"
6,3,"basic",2,"4","5","5","auto","auto","auto","no","no","no","30","30","35"
6,4,"basic",2,"2","5","2","manual","manual","auto","yes","yes","no","40","30","40"
6,5,"basic",1,"4","2","4","manual","manual","auto","yes","yes","no","30","35","40"
6,6,"basic",2,"5","5","4","auto","auto","auto","no","yes","no","40","35","35"
6,7,"basic",2,"4","4","4","manual","manual","auto","no","yes","yes","40","40","40"
6,8,"basic",2,"2","2","2","manual","auto","auto","no","no","yes","40","30","35"
6,9,"basic",3,"4","5","5","auto","manual","auto","yes","no","yes","35","30","30"
6,10,"basic",1,"4","2","5","auto","auto","auto","yes","yes","yes","30","40","40"
7,1,"basic",2,"5","4","4","manual","manual","auto","yes","yes","no","35","30","30"
7,2,"basic",1,"2","5","4","auto","manual","manual","yes","no","no","35","35","35"
7,3,"basic",3,"4","4","5","auto","manual","auto","no","no","no","40","40","35"
7,4,"basic",3,"4","4","4","manual","auto","auto","yes","yes","yes","35","35","30"
7,5,"basic",1,"5","4","2","auto","manual","auto","no","no","no","30","30","40"
7,6,"basic",3,"5","2","2","manual","manual","manual","yes","no","yes","40","40","35"
7,7,"basic",2,"4","2","2","manual","auto","manual","yes","no","yes","40","30","30"
7,8,"basic",2,"5","2","5","manual","auto","manual","no","no","no","30","35","40"
7,9,"basic",1,"2","2","5","auto","manual","auto","yes","no","no","30","35","40"
7,10,"basic",2,"4","5","2","auto","auto","auto","yes","yes","yes","40","30","40"
8,1,"basic",1,"5","2","4","manual","manual","auto","no","no","no","40","30","30"
8,2,"basic",3,"4","2","4","manual","manual","auto","yes","no","yes","35","35","35"
8,3,"basic",1,"4","5","5","manual","auto","auto","yes","no","yes","30","40","30"
8,4,"basic",3,"2","5","2","manual","manual","auto","yes","no","no","30","30","30"
8,5,"basic",2,"2","2","2","auto","auto","manual","yes","no","no","30","35","40"
8,6,"basic",2,"2","5","4","manual","manual","auto","yes","yes","no","35","30","35"
8,7,"basic",3,"2","5","5","manual","manual","auto","yes","yes","yes","40","40","35"
8,8,"basic",3,"5","4","5","manual","auto","auto","no","yes","no","35","30","30"
8,9,"basic",3,"2","2","4","auto","auto","auto","yes","no","no","40","40","40"
8,10,"basic",2,"4","5","4","auto","manual","manual","yes","yes","no","40","35","30"
9,1,"basic",3,"4","2","5","auto","auto","auto","no","no","yes","40","40","40"
9,2,"basic",3,"2","5","2","auto","auto","auto","no","no","yes","35","35","30"
9,3,"basic",1,"2","5","5","auto","manual","auto","no","no","no","30","40","40"
